word	pos	msd
.	MAD	MAD

# sentence 57d2d3f0
Q	NN	NN.UTR.SIN.IND.NOM
kvalificerad	PC	PC.PRF.UTR.SIN.IND.NOM
till	PP	PP
nästa	JJ	JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM
omgång	NN	NN.UTR.SIN.IND.NOM
DNS	PM	PM.NOM
startade	VB	VB.PRT.AKT
inte	AB	AB
.	MAD	MAD

# sentence 57dd578f
DSQ	PM	PM.NOM
markerar	VB	VB.PRS.AKT
diskvalificerad	PC	PC.PRF.UTR.SIN.IND.NOM
eller	KN	KN
utesluten	PC	PC.PRF.UTR.SIN.IND.NOM
.	MAD	MAD

# paragraph 
# sentence 57deeb98
Kval	NN	NN.NEU.SIN.IND.NOM

# paragraph 
# sentence 57d25331
Heat	PM	PM.NOM
1	RG	RG.NOM

# paragraph 
# sentence 57dadcc6
1	RG	RG.NOM
.	MAD	MAD

# sentence 57d9e4c5
Katerine	PM	PM.NOM
Moreno	PM	PM.NOM
,	MID	MID
Bolivia	PM	PM.NOM
1.18	RG	RG.NOM
,	MID	MID
25	RG	RG.NOM
2	RG	RG.NOM
.	MAD	MAD

# sentence 57d42de8
Varduhi	PM	PM.NOM
Avetisjan	PM	PM.NOM
,	MID	MID
Armenien	PM	PM.NOM
1.18	RG	RG.NOM
,	MID	MID
87	RG	RG.NOM
3	RG	RG.NOM
.	MAD	MAD

# sentence 57d1a872
Shrone	PM	PM.NOM
Austin	PM	PM.NOM
,	MID	MID
Seychellerna	NN	NN.UTR.PLU.DEF.NOM
1.19	RG	RG.NOM
,	MID	MID
02	RG	RG.NOM
4	RG	RG.NOM
.	MAD	MAD

# sentence 57df4d9e
Natalija	PM	PM.NOM
Filina	PM	PM.NOM
,	MID	MID
Azerbajdzjan	PM	PM.NOM
1.20	RG	RG.NOM
,	MID	MID
21	RG	RG.NOM
5	RG	RG.NOM
.	MAD	MAD

# sentence 57dcde90
Melissa	PM	PM.NOM
Ashby	PM	PM.NOM
,	MID	MID
Grenada	PM	PM.NOM
1.22	RG	RG.NOM
,	MID	MID
67	RG	RG.NOM
6	RG	RG.NOM
.	MAD	MAD

# sentence 57d87c0f
Pauline	PM	PM.NOM
Keita	PM	PM.NOM
,	MID	MID
Mali	PM	PM.NOM
1.30	RG	RG.NOM
,	MID	MID
40	RG	RG.NOM
7	RG	RG.NOM
.	MAD	MAD

# sentence 57d81432
Nayana	PM	PM.NOM
Shakya	PM	PM.NOM
,	MID	MID
Nepal	PM	PM.NOM
1.32	RG	RG.NOM
,	MID	MID
92	RG	RG.NOM
8	RG	RG.NOM
.	MAD	MAD

# sentence 57d17c63
Pamela	PM	PM.NOM
Girimbabazi	PM	PM.NOM
Rugabira	PM	PM.NOM
,	MID	MID
Rwanda	PM	PM.NOM
1.50	RG	RG.NOM
,	MID	MID
39	RG	RG.NOM

# paragraph 
# sentence 57d5037b
Heat	PM	PM.NOM
2	RG	RG.NOM

# paragraph 
# sentence 57d4bb72
1	RG	RG.NOM
.	MAD	MAD

# sentence 57d3032c
Ina	PM	PM.NOM
Kapisjina	PM	PM.NOM
,	MID	MID
Vitryssland	PM	PM.NOM
1.10	RG	RG.NOM
,	MID	MID
66	RG	RG.NOM
2	RG	RG.NOM
.	MAD	MAD

# sentence 57d3b237
Imaday	PM	PM.NOM
Nunez	PM	PM.NOM
Gonzalez	PM	PM.NOM
,	MID	MID
Kuba	PM	PM.NOM
1.12	RG	RG.NOM
,	MID	MID
14	RG	RG.NOM
3	RG	RG.NOM
.	MAD	MAD

# sentence 57dc5717
Alia	PM	PM.NOM
Atkinson	PM	PM.NOM
,	MID	MID
Jamaica	PM	PM.NOM
1.12	RG	RG.NOM
,	MID	MID
53	RG	RG.NOM
4	RG	RG.NOM
.	MAD	MAD

# sentence 57d1347f
Yi-Ting	PM	PM.NOM
Siow	PM	PM.NOM
,	MID	MID
Malaysia	PM	PM.NOM
1.13	RG	RG.NOM
,	MID	MID
30	RG	RG.NOM
5	RG	RG.NOM
.	MAD	MAD

# sentence 57db6baa
Valeria	PM	PM.NOM
Silva	PM	PM.NOM
,	MID	MID
Peru	PM	PM.NOM
1.13	RG	RG.NOM
,	MID	MID
52	RG	RG.NOM
6	RG	RG.NOM
.	MAD	MAD

# sentence 57d091bf
Adriana	PM	PM.NOM
Marmolejo	PM	PM.NOM
Vargas	PM	PM.NOM
,	MID	MID
Mexiko	PM	PM.NOM
1.14	RG	RG.NOM
,	MID	MID
35	RG	RG.NOM
7	RG	RG.NOM
.	MAD	MAD

# sentence 57dda77d
Tsz-Wa	PM	PM.NOM
Yip	PM	PM.NOM
,	MID	MID
Hongkong	PM	PM.NOM
1.14	RG	RG.NOM
,	MID	MID
53	RG	RG.NOM
8	RG	RG.NOM
.	MAD	MAD

# sentence 57dd6301
Iris	PM	PM.NOM
Edda	PM	PM.NOM
Heimisdottir	PM	PM.NOM
,	MID	MID
Island	PM	PM.NOM
1.15	RG	RG.NOM
,	MID	MID
35	RG	RG.NOM

# paragraph 
# sentence 57dbac28
Heat	PM	PM.NOM
3	RG	RG.NOM

# paragraph 
# sentence 57d93808
1	RG	RG.NOM
.	MAD	MAD

# sentence 57d28069
Marina	PM	PM.NOM
Kuc	PM	PM.NOM
,	MID	MID
Serbien	PM	PM.NOM
och	KN	KN
Montenegro	PM	PM.NOM
1.11	RG	RG.NOM
,	MID	MID
27	RG	RG.NOM
2	RG	RG.NOM
.	MAD	MAD

# sentence 57d75b2c
Ilkay	PM	PM.NOM
Dikmen	PM	PM.NOM
,	MID	MID
Turkiet	PM	PM.NOM
1.11	RG	RG.NOM
,	MID	MID
69	RG	RG.NOM
3	RG	RG.NOM
.	MAD	MAD

# sentence 57d61dd7
Salama	PM	PM.NOM
Ismail	PM	PM.NOM
,	MID	MID
Egypten	PM	PM.NOM
1.12	RG	RG.NOM
,	MID	MID
20	RG	RG.NOM
4	RG	RG.NOM
.	MAD	MAD

# sentence 57d58ded
Javiera	PM	PM.NOM
Salcedo	PM	PM.NOM
,	MID	MID
Argentina	PM	PM.NOM
1.12	RG	RG.NOM
,	MID	MID
46	RG	RG.NOM
5	RG	RG.NOM
.	MAD	MAD

# sentence 57dcc816
Jaclyn	PM	PM.NOM
Pangilinan	PM	PM.NOM
,	MID	MID
Filippinerna	NN	NN.UTR.PLU.DEF.NOM
1.12	RG	RG.NOM
,	MID	MID
47	RG	RG.NOM
6	RG	RG.NOM
.	MAD	MAD

# sentence 57d94fab
Nicolette	PM	PM.NOM
Teo	PM	PM.NOM
,	MID	MID
Singapore	PM	PM.NOM
1.12	RG	RG.NOM
,	MID	MID
87	RG	RG.NOM
7	RG	RG.NOM
.	MAD	MAD

# sentence 57de2d9b
Ji-Young	PM	PM.NOM
Lee	PM	PM.NOM
,	MID	MID
Sydkorea	PM	PM.NOM
1.12	RG	RG.NOM
,	MID	MID
